DATA,CLASSIFICACAO,PROVA,CONCLUSAO,OBSERVACAO,RESPONSAVEL
06/06/2025 19:00:00,,Aperitivo 05 - Nossos Parceiros 1,SIM,,
08/06/2025 20:00:00,,Aperitivo 03 - Mariental Fest,SIM,,
13/06/2025 19:00:00,,Aperitivo 05 - Nossos Parceiros 2,SIM,,
14/06/2025 20:00:00,,Aperitivo 04 - Erguei as maos,SIM,,
19/06/2025 18:30:00,,Aperitivo 07 - Prefeito,SIM,,
20/06/2025 19:00:00,,Aperitivo 05 - Nossos Parceiros 3,SIM,,
20/06/2025 19:00:00,,Aperitivo 06 - Hulk,SIM,,
21/06/2025 18:30:00,,Aperitivo 08 - Harlem Shake,SIM,,
24/06/2025 18:30:00,,Aperitivo 02 - Vereador,SIM,,
27/06/2025 20:00:00,,Aperitivo 01 - Influenciadores,SIM,AMEM,
04/07/2025 23:59:59,,Prova Surpresa 01: Independence Day,SIM,ZERAMOS,
05/07/2025 20:00:00,,Busca Artistas 01 - SHOW - Gilberto Gil,SIM,,André e Carol Hammer
06/07/2025 20:00:00,,Meme 03 - Love Time,SIM,,Adri e Adriano (geral) Camila (filmagem)
10/07/2025 20:00:00,,Prova Surpresa 02 - Dia da Pizza,SIM,,
12/07/2025 20:00:00,,PROVA SURPRESA 05 - Chicken Dance na Lapa,SIM,,
12/07/2025 23:45:00,,CAÇA - Rota dos patrocinadores,SIM,,
13/07/2025 18:00:00,,Busca Artistas 03 - SHOW - Moacyr Franco,SIM,,Juliano e Talissa
13/07/2025 20:00:00,,Meme 01 - Surfin' Bird – The Trashmen,SIM,,Maria e Isa
14/07/2025 20:00:00,SIM,PROVA SURPRESA 04 - Venda a lapa!,NÃO,,Leo e Mari
17/07/2025 20:00:00,,Filmes 04 - Festa no apê,NÃO,,Maria e Isa
18/07/2025 20:00:00,,Meme 04 - Organizações Tabajara,NÃO,,Mari Machado (roteiro) Camila (filmagem)
19/07/2025 21:00:00,,Busca Artistas 04 - SHOW - Nando Reis,NÃO,,Paty
19/07/2025 21:15:00,,Busca Artistas 02 - SHOW - Alcione,NÃO,,Juliano e Talissa
20/07/2025 20:00:00,,Meme 02 - Gangnam Style,NÃO,,Maria e Isa
22/07/2025 20:00:00,SIM,Filmes 03 - MIssão Impossível,NÃO,,Adri (Roteiro) Heryck ou Cami (filmagem)
23/07/2025 20:00:00,SIM,Filmes 02 - Duro de matar,NÃO,,Adri (Roteiro) Heryck ou Cami (filmagem)
24/07/2025 20:00:00,SIM,Filmes 01 - O Duelo Reporter,NÃO,,Andrea e Edi (roteiro) Heryck (filmagem)
25/07/2025 19:00:00,,Filantrópica 01 - Agasalho,PARCIAL,Concluído / não entregue,Adri e João Lorenzen
25/07/2025 19:00:00,,Tarefa Artistica 03 - Show de circo,NÃO,,Andrea e Edi (roteiro)
25/07/2025 20:30:00,,Tarefa Artistica 08 - MC Sapão - Vou desafiar voce,NÃO,,Maria e Isa
25/07/2025 21:00:00,,Filantrópica 02 - Brinquedos e Leitura,PARCIAL,Concluído / não entregue,Adri e João Lorenzen
26/07/2025 09:00:00,,Filantrópica 03 - Cestas Básicas,PARCIAL,Concluído / não entregue,Adri e João Lorenzen
26/07/2025 09:15:00,SIM,Construção 01 - Maquina de Rube Goldberg,NÃO,,Rodrigo e Ganze
26/07/2025 10:00:00,,Filantrópica 04 - Fraldas,PARCIAL,Concluído / não entregue,Adri e João Lorenzen
26/07/2025 11:00:00,,Filantrópica 05 - Proteção Animal,PARCIAL,Concluído / não entregue,Adri e João Lorenzen
26/07/2025 11:30:00,,Tarefa Social - Vozes do tempo,PARCIAL,Concluído / não entregue,Clara
26/07/2025 13:30:00,,Meme 05 - Saveiro Furacao,NÃO,,Maria e Isa
26/07/2025 13:30:00,,Meme 06 - Saveiro Furacao 2 - Saveiro Furacao 2,NÃO,,Maria e Isa
26/07/2025 16:00:00,SIM,Tarefa Artistica 02 - Bonecas Dançantes,NÃO,,Mari
26/07/2025 16:30:00,SIM,Filmes 05 - Soul Bossa Nova,NÃO,,Maria e Isa
26/07/2025 16:45:00,SIM,Filmes 06 - Twist and Shout,NÃO,,Maria e Isa
26/07/2025 17:30:00,SIM,Tarefa Artistica 04 - Novela Mexicana,NÃO,,Andrea e Edi (roteiro)
26/07/2025 18:00:00,,Filantrópica 06 - Entrega,PARCIAL,Concluído / não entregue,Adri e João Lorenzen
26/07/2025 19:00:00,SIM,Tarefa Artistica 06 - Footloose - Let's dance,NÃO,,Maria e Isa
26/07/2025 20:30:00,SIM,Tarefa Artistica 05 - Mister M,NÃO,,Leo
27/07/2025 14:00:00,SIM,Tarefa Artistica 01 - Estátua Viva Flutuante,NÃO,,Rodrigo e Ganze
27/07/2025 15:00:00,SIM,Tarefa Artistica 07 - Mamma Mia,NÃO,,Maria e Isa
27/07/2025 16:30:00,,Busca Artistas 01 - Gilberto Gil,PARCIAL,Concluído / não entregue,Neno
27/07/2025 16:30:00,,Busca Artistas 02 - Alcione,PARCIAL,Concluído / não entregue,Juliano e Talissa
27/07/2025 16:30:00,,Busca Artistas 03 - Moacyr Franco,PARCIAL,,Juliano e Talissa
27/07/2025 16:30:00,,Busca Artistas 04 - Nando Reis,PARCIAL,,Paty
27/07/2025 16:45:00,,Busca Longa 01 - Missão MAD,NÃO,,GERAL
